article_id,journal_name,cluster
88909,ACM TRANSACTIONS ON ALGORITHMS,45
88910,ACM TRANSACTIONS ON ALGORITHMS,43
88911,ACM TRANSACTIONS ON ALGORITHMS,33
88912,ACM TRANSACTIONS ON ALGORITHMS,43
88913,ACM TRANSACTIONS ON ALGORITHMS,33
88914,ACM TRANSACTIONS ON ALGORITHMS,43
88915,ACM TRANSACTIONS ON ALGORITHMS,43
88916,ACM TRANSACTIONS ON ALGORITHMS,43
88917,ACM TRANSACTIONS ON ALGORITHMS,43
88918,ACM TRANSACTIONS ON ALGORITHMS,43
88919,ACM TRANSACTIONS ON ALGORITHMS,33
88920,ACM TRANSACTIONS ON ALGORITHMS,43
88921,ACM TRANSACTIONS ON ALGORITHMS,43
88922,ACM TRANSACTIONS ON ALGORITHMS,43
88923,ACM TRANSACTIONS ON ALGORITHMS,43
88924,ACM TRANSACTIONS ON ALGORITHMS,43
88925,ACM TRANSACTIONS ON ALGORITHMS,33
88926,ACM TRANSACTIONS ON ALGORITHMS,33
88927,ACM TRANSACTIONS ON ALGORITHMS,21
88928,ACM TRANSACTIONS ON ALGORITHMS,43
88929,ACM TRANSACTIONS ON ALGORITHMS,43
88930,ACM TRANSACTIONS ON ALGORITHMS,43
88931,ACM TRANSACTIONS ON ALGORITHMS,43
88932,ACM TRANSACTIONS ON ALGORITHMS,43
88933,ACM TRANSACTIONS ON ALGORITHMS,43
88934,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88935,ACM TRANSACTIONS ON APPLIED PERCEPTION,20
88936,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88937,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88938,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88939,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88940,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88941,ACM TRANSACTIONS ON APPLIED PERCEPTION,20
88942,ACM TRANSACTIONS ON APPLIED PERCEPTION,20
88943,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88944,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88945,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88946,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88947,ACM TRANSACTIONS ON APPLIED PERCEPTION,20
88948,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88949,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88950,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88951,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88952,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88953,ACM TRANSACTIONS ON APPLIED PERCEPTION,34
88954,ACM TRANSACTIONS ON APPLIED PERCEPTION,34
88955,ACM TRANSACTIONS ON APPLIED PERCEPTION,34
88956,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88957,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88958,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88959,ACM TRANSACTIONS ON APPLIED PERCEPTION,11
88960,ACM TRANSACTIONS ON APPLIED PERCEPTION,20
88961,ACM TRANSACTIONS ON APPLIED PERCEPTION,29
88962,ACM TRANSACTIONS ON APPLIED PERCEPTION,29
88963,ACM TRANSACTIONS ON APPLIED PERCEPTION,11
88964,ACM TRANSACTIONS ON APPLIED PERCEPTION,23
88965,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88966,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88967,ACM TRANSACTIONS ON APPLIED PERCEPTION,40
88968,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88969,ACM TRANSACTIONS ON APPLIED PERCEPTION,20
88970,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88971,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88972,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88973,ACM TRANSACTIONS ON APPLIED PERCEPTION,34
88974,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88975,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88976,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88977,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88978,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88979,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88980,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88981,ACM TRANSACTIONS ON APPLIED PERCEPTION,18
88982,ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,5
88983,ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,5
88984,ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,5
88985,ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,5
88986,ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,5
88987,ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,25
88988,ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,5
